CreditScore,Age,Balance,Salary,Exited
514,39,0,136716.22,1
773,40,60892.36,92725.3,0
798,32,168423.58,191092.82,0
628,46,206690.11,146656.59,1
702,39,0,186731.39,1
678,44,206263.26,110241.71,1
850,31,99851.05,59191.81,0
751,36,39922.93,20037.07,1
638,47,184749.79,147956.12,0
564,36,90758.15,33047.57,1
505,57,0,67527.27,1
668,36,68390.34,111169.47,1
582,42,21226.18,117239.15,0
522,49,0,124110.81,1
592,26,0,41588.51,0
553,22,0,82150.11,1
802,25,244342.7,127266.9,0
729,53,198660.71,194265.58,0
649,34,0,148249.92,1
783,66,144873.96,185294.71,0
657,34,0,154820.29,0
572,42,73070.44,122426.22,1
787,55,0,46484.44,1
699,60,155228.1,136670.27,1
557,61,103386.43,128442.12,1
633,52,107444.13,124469.14,0
571,50,83240.88,103059.31,1
526,46,141493.72,110444.75,1
733,48,212793.06,73544.08,0
822,34,0,108669.41,0
524,32,0,47535.62,1
701,40,172582.83,162983.14,0
591,38,0,45297.62,0
606,35,0,26143.6,1
597,47,195099.66,92886.75,0
572,50,5033.9,135078.41,1
654,41,204776.73,93166.2,1
575,55,0,62583.29,1
674,29,0,116052.52,0
645,38,247998.72,75930.44,0
628,33,0,187244.86,0
568,21,0,185302.58,0
598,39,191575.48,105450.65,1
718,39,64003.56,72297.96,0
695,55,216525.03,150055.16,1
562,46,0,16975.46,0
659,30,0,100206.11,0
718,59,244808.74,73901.44,1
500,52,0,184901.82,1
699,46,211874.92,12280.58,1
590,38,81758.01,115034.83,0
701,30,169444.45,150726.08,1
581,36,148966.21,102153.42,1
488,51,0,26226.58,1
504,59,170950.58,194767.66,1
654,55,144264.43,108421.98,1
673,35,107836.53,126695.39,1
569,29,0,54955.86,0
707,41,0,101864.64,0
500,22,57341.84,91538.4,1
644,43,173396.22,24230.21,1
541,39,59099.87,30170.47,0
591,35,0,169119.78,1
654,24,187022.49,55565.79,1
573,45,55459.76,47042.07,1
615,35,15925.88,105933.18,1
741,28,33612.46,156061.95,0
598,18,0,21769.84,1
725,40,212512.16,119593.5,0
548,58,0,32649.98,1
698,57,183803.66,16927.6,1
780,35,85988.34,20021.35,0
428,34,120153.56,168491.18,1
578,45,232286.03,32414.77,1
702,30,0,18578.76,1
632,43,116868.9,93200.98,0
683,48,4406.92,170358.76,1
596,52,0,59857.59,0
658,39,0,90125.4,1
636,38,7935.21,17585.28,0
755,31,0,95324.92,0
673,32,107173.19,119746.49,0
680,38,137488.16,118472.34,1
613,44,44487.15,73161.07,0
606,49,0,69951.3,1
611,32,166292.29,30258.49,1
686,55,241360.38,79691.68,1
612,37,0,28903.99,1
676,40,222705.7,155653.23,1
837,33,144643.42,193592.12,0
728,18,141415.97,194314.15,0
621,49,0,174363.51,1
758,47,18279.13,124150.51,0
613,37,0,143164.48,0
467,41,0,64189.1,1
559,45,85898.68,129846.38,0
482,24,229399.75,96573.41,0
618,35,0,101583.29,0
652,48,0,153977.55,1
801,27,0,63564.49,0
679,43,0,70427.53,1
630,26,0,185681.94,1
725,45,0,20682.62,1
451,40,225165.76,102270.52,0
671,24,198255.61,183432.15,0
719,52,169413.91,125968.97,0
517,33,170228.66,113817.34,1
753,32,0,57451.39,0
680,42,74660.2,75222.34,1
613,51,1276.91,171889.2,1
707,30,68716.69,116251.45,0
850,41,55254.95,107801.02,0
666,44,165796.81,28920.15,1
672,47,158794.19,13045.35,1
609,42,0,193100.19,1
574,36,5044.62,81627.37,1
725,32,182465.74,124610.48,1
573,41,81559.07,25145.86,0
656,29,166598.94,139791.71,0
607,18,0,187187.67,0
693,44,86340,119376.4,1
680,49,34509.49,33961.91,1
743,18,24510.31,120527.09,1
604,30,208048.06,155605.97,0
626,46,0,87219.14,0
562,61,162797.22,177169.17,1
610,40,26755.09,133249.76,1
684,33,101104.78,180857.29,0
718,38,182505.86,128466.01,0
567,54,195175.4,34944.71,0
728,34,30436.44,68841.43,0
772,32,0,48341.04,0
687,35,178322.12,182677.03,1
819,30,89792.45,154476.01,1
580,41,64365.85,138515.69,1
538,56,4211.47,67183.6,1
490,43,135534.55,44968.51,1
785,37,0,153725.71,0
709,37,239450.28,100090.01,1
645,24,0,52900.01,0
675,49,129100.87,127158.18,1
549,39,0,17663.43,1
850,38,137669.33,71972.35,1
662,72,95614.79,99025.83,1
660,43,0,38112.08,1
715,32,97792.86,197084.35,0
693,36,60834.48,49728.5,1
670,51,0,34767.09,0
579,41,79414.69,48671.63,1
692,26,25064.56,156121.62,1
819,49,45047.34,90846.08,1
771,33,0,117429.03,0
793,59,0,13991.74,1
604,51,0,16541.95,0
561,36,0,94706.85,1
639,53,0,165164.5,1
655,41,146095.9,178195.39,1
748,49,203305.98,26474.25,1
498,45,82408.32,112288.99,1
788,32,77130.25,183513.64,0
636,34,0,83714.82,0
612,50,0,167617.51,1
559,37,170865.73,35402.17,1
501,36,0,187724.95,0
724,30,34169.27,152770.43,1
657,44,158466.67,188853.53,0
534,61,32953.14,138557.27,1
533,29,145044.63,79046.75,1
620,40,173662.11,188254.42,1
800,54,175452.26,62357.69,1
627,39,188614.56,73112.78,0
515,45,218342,143153.6,1
628,29,125489.79,155410.1,0
625,44,182832.05,186586.66,0
407,38,155174.01,48912.46,1
645,50,47473.35,161619.63,1
629,52,7396.72,150323.75,1
713,66,71850.81,22120.97,0
816,46,0,83572.4,1
751,43,154659.38,63725.44,1
626,42,212639.87,67853.18,0
550,36,49865.18,196759.91,1
850,43,0,132127.71,0
655,37,240906.51,146358.47,0
651,42,27903.1,195557.35,1
648,53,120144.28,81668.34,0
668,30,146805.37,162349.63,1
637,51,135802.23,92560.88,1
598,53,22422.01,175211.4,1
601,39,15199.7,44324.93,1
647,19,0,190060.37,0
601,34,146811.33,51566.62,1
586,53,0,71981.9,1
660,40,59201.46,153676.52,1
627,30,0,84813.48,0
785,35,0,125560.16,0
411,48,0,94468.97,1
748,45,0,151050.29,1
762,38,172638.29,53382.94,1
463,36,63825.67,21107.02,1
619,36,77634.96,66986.59,0
617,31,0,100118.65,0
523,56,0,41923.81,1
580,37,0,77411.49,1
550,52,0,85996.77,1
808,55,182825.21,20904.45,1
734,50,0,120828.38,1
764,36,160600.42,178025.25,0
715,44,0,38831.15,0
548,40,0,123583.52,1
603,31,175732.83,136300.45,0
694,43,139559.69,89673.59,0
540,28,0,143208.54,0
714,52,0,88038.99,1
628,35,6212.6,105881.08,1
616,42,0,11397.08,0
714,43,0,141426.82,0
690,37,191865.3,135655.11,0
618,46,175824.76,17296.17,0
754,35,83506.7,79967.52,0
553,49,169240.06,196016.05,0
705,27,99588.37,89939.95,1
703,41,189307.19,105369.63,1
622,59,114091.73,182886.73,1
679,30,103657.65,146279.76,0
537,33,0,120593.32,0
733,45,63468.9,161582.89,1
633,42,30991.39,174229.59,0
603,44,146551.24,96808.73,0
744,45,242361.13,100270.59,1
587,46,95081.96,83349.68,1
523,51,0,193674.17,1
510,44,85487.01,142461.59,1
705,38,0,25812.38,1
535,47,41318.83,173962.33,1
808,59,0,101306.39,1
463,39,249439.6,23063.24,1
803,30,0,114446.28,0
669,51,89327.41,89261.21,0
641,39,100775.34,176772.39,1
601,18,0,48758.97,1
686,48,220935.13,167028.28,0
647,35,104291.59,115960.85,1
749,39,0,20375.96,0
660,43,165262.88,194650.61,0
664,42,0,107396.9,0
617,47,162410.13,65266.6,0
645,36,16300.13,99187.3,1
678,45,203617.11,172992.98,1
496,37,235185.48,67931.59,1
529,47,0,46608.52,1
717,46,0,34523.54,0
665,31,38706.65,66593.29,1
633,51,119876.63,158209.14,1
652,35,150849.88,99609.01,0
681,48,145852.43,53221.5,1
601,44,100963.98,41575.15,1
580,58,85183.02,73218.6,1
668,38,32579.18,188585.63,0
562,37,98543.87,75175.08,1
687,40,41502.54,197743.57,0
497,37,0,102193.79,1
743,48,52998.9,44041.14,0
693,24,15582.76,179316.62,0
673,29,138539.17,97467.52,1
738,29,0,144837.56,0
800,50,218106.35,196905.2,0
741,57,144668.42,19533.32,1
484,39,87024.73,28371.97,0
535,38,0,146886.78,1
594,41,0,63546.75,1
652,52,20740.79,45017.27,1
697,31,141896.79,17478.76,0
585,42,227096.62,14150.88,1
667,50,99681.84,157152.26,0
582,45,0,35542.35,0
595,42,36723.89,98866.92,1
523,50,0,125120.39,1
567,18,108760.1,91386.84,0
528,47,149324.28,15150.26,1
562,33,21073.24,158865.29,0
745,22,234952.58,11997.51,0
565,45,189028.27,154759.08,1
850,54,147069.36,179727.85,0
694,39,0,92239.59,1
667,50,20966.5,111753.07,1
573,56,119732.88,100626.84,1
713,53,0,83949.64,1
598,56,207334.57,178610.66,1
661,47,196083.92,179847.37,0
850,41,69990.24,73805.11,0
641,24,235279.16,126863.25,0
753,38,31962.11,186112.44,0
587,32,0,192791.11,1
647,62,0,106702.22,1
809,38,45111.23,96036.71,0
594,41,180794.45,62951.92,0
813,46,0,192185.66,0
714,40,101950.28,37134.72,0
599,57,129554.54,120167.62,1
707,34,145580.66,63684.55,0
738,42,0,63011.58,0
706,33,168390.42,86944.03,0
509,27,120838.21,199770.66,1
585,34,202609.08,20443.6,1
628,40,237682.67,119922.95,1
643,36,6494.47,25688.71,0
706,33,245647.8,39358.96,1
666,26,0,93516.96,0
530,39,203782.31,106987.42,1
684,25,70803.35,59170.56,1
705,48,33912.73,70126.85,0
700,41,0,26523.73,0
747,25,0,67611.76,0
725,37,95857.01,193646.1,1
691,32,14586.79,189494.4,0
644,43,150265.82,73626.88,1
501,53,225698.42,118462.25,1
689,21,96420.63,182823.12,0
669,41,54866.86,11174.93,1
674,38,111201.76,164029.88,1
535,47,13042.32,190190.22,1
553,42,205301.41,27351.89,1
745,32,0,40675.06,0
646,37,147412.12,192541.8,1
711,32,88922.62,112132.63,1
653,51,0,12697.36,1
653,40,0,58950.08,0
734,59,206657.14,95489.3,1
604,39,0,141652.69,0
659,33,0,149300.47,1
608,25,150042.19,199130.09,0
611,22,104121.13,64627.13,1
622,24,239528.52,112261.82,0
670,43,0,111331.47,0
607,45,0,87072.6,0
763,24,55901.42,42140.76,0
569,49,156787.05,195716.75,1
633,35,143330.3,172130.27,0
610,41,47024.76,104683.28,0
780,56,15837.19,124616.63,1
668,49,0,53179.6,1
743,37,191159.38,113319.54,1
516,31,0,142044.33,1
674,18,57466.38,107881.74,0
730,33,166963.97,198154.18,0
657,38,20946.33,126154.91,1
746,30,0,80485.01,1
603,39,0,156708.89,0
777,41,46930.3,42387.88,0
850,38,0,83058,0
617,33,97290.06,75922.2,1
610,42,0,92043.35,0
781,44,100050.57,158538.17,0
792,29,128415.15,101992.88,1
603,54,121340.28,160862.75,1
612,39,96313.24,119532.89,0
625,40,0,74993.19,0
529,47,0,163895.96,0
567,42,126918.49,55275.04,0
560,50,16448.31,52632.77,1
581,43,18717.76,105855.56,1
647,34,0,59561.36,1
671,44,0,11726.54,1
790,29,0,133176.53,0
560,41,139910.55,107107.83,1
739,40,0,94648.38,0
631,38,13125.02,193724.02,0
646,39,0,118527.84,1
711,21,11972.4,174052,0
549,35,47133.94,36495.54,1
684,41,135776.26,118149.23,1
665,42,161747.47,174916.13,0
694,30,12350.7,120790.09,0
676,53,236546.75,146422.69,0
850,31,210699.18,80688.28,1
593,50,74856.51,27565.41,1
602,44,20219.7,97001.06,1
594,34,0,84951.08,1
600,58,32609.16,174741.43,0
593,28,0,56359.11,0
757,49,0,193679.5,0
778,50,62216.01,192046.24,1
599,33,90176.79,57050.01,0
575,54,247386.83,76129.87,1
692,37,171394.25,180155.59,0
600,43,237296.19,193658.22,1
707,43,36496.58,94253.43,1
668,39,0,70989.44,0
514,48,0,109957.86,0
789,48,20112.76,140676.15,1
812,23,0,61960.16,0
595,53,0,149929.9,0
615,23,160813.06,19814.9,1
676,50,103286.41,19365.95,1
680,51,122921.37,83394.66,1
709,29,104445.31,77159.91,0
831,36,6977.26,69970.31,0
634,29,0,103293.75,0
578,38,0,70939.38,1
526,37,25507.62,46529,0
584,48,239223.39,68799.21,1
647,53,150240.57,195231.81,1
812,54,0,88111.55,1
603,34,79525.57,94495.43,1
670,38,98893.64,119543.55,1
649,23,59994.07,196834.75,0
757,32,25144.45,55904.24,0
850,50,45578.88,139443.6,1
602,56,199581,146037.09,1
606,28,169708.91,125391.64,0
744,34,137185.29,26829.88,0
711,40,119297.38,138605.73,0
816,43,230686.14,22178,1
703,32,19111,123267.1,0
618,44,70869.6,150520.42,1
703,35,0,50084.28,0
750,40,195824.03,169908.18,1
724,45,248136.14,15767.22,1
696,40,60926.96,170324.44,0
746,36,218702.53,97462.52,1
755,39,207825.07,51341.71,1
774,39,0,35417.85,0
708,36,100433.81,191128.36,1
635,37,103008.54,23806.46,0
663,56,244576.95,47827.75,1
759,46,46042.08,76086.25,0
576,37,199990.33,127844.62,1
683,47,84213.99,113512.21,1
615,37,0,33872.26,0
653,52,105582.74,65048.32,0
765,44,145011.58,55362.84,0
667,39,208320.33,50573.14,1
654,44,201237.23,88117.42,1
528,24,216739.37,143765.98,0
717,29,0,51316.06,1
708,28,173320.59,79668.99,0
845,41,35856.86,84274.31,0
622,57,104538.82,195526.74,1
670,62,137598.52,191386.61,1
672,46,0,162026.14,1
792,45,0,55915.19,0
641,22,249135.05,22927.09,0
675,35,34669.11,70211.79,1
705,32,0,60690.96,0
667,34,99604.24,106125.9,1
610,38,34119.44,157768.3,0
667,35,40525.45,173081.36,1
747,20,237369,170524.18,0
558,47,0,78338.36,0
662,29,0,140574.53,0
587,42,247891.66,69438.5,0
758,61,52870.53,21572.05,1
513,31,89504.4,143297.4,0
600,18,167635.54,11867.23,0
684,37,121466.83,87744.69,0
